id,hindi,english
1942,मुझे एक जरूरी कॉल करनी है ।,I have an important call to make.
1943,मेरे पास आज रात सोने के लिए जगह नहीं है।,I have no place to sleep tonight.
1944,मुझे इसके बारे में कुछ भी नहीं पता।,I know nothing whatever about it.
1945,मुझे पता है कि यह एक अच्छा विचार नहीं है।,I know that it's not a good idea.
1946,मुझे टॉम से दूर रहना चाहिए था।,I should've stayed away from Tom.
1947,मुझे लगता है ट्रेन आने ही वाली है।,I think the train will come soon.
1948,मैं एक दिन अमेरिका जाना चाहता हूँ।,I want to go to America some day.
1949,मुझे अगले साल विदेश जाकर पढ़ाई करने का मन है।,I want to study abroad next year.
1950,जब वह आया मैं नहा रहा था।,I was taking a bath when he came.
1951,मैं वहाँ गया क्योंकि मेरा मन था।,I went there because I wanted to.
1952,मैंने कल रात एक प्रेम पत्र लिखा था।,I wrote a love letter last night.
1953,मैं तुमसे बात करना चाहता हूँ।,I'd like to have a word with you.
1954,मैं अगले सोमवार आके ले जाऊंगा।,I'll come pick it up next Monday.
1955,मैं एक छोटी अटैची को ढूँढ रहा हूँ।,I'm looking for a small suitcase.
1956,मैं टीवी देख देखकर थक गया हूँ।,I'm tired of watching television.
1957,क्या झूठ हमेशा बुरा होता है?,Is it always a sin to tell a lie?
1958,ऐसी कोई जगह है जहां आप जाना चाहते हो?,Is there anywhere you want to go?
1959,जापान में रहना बहुत महंगा है।,It is expensive to live in Japan.
1960,मुझसे पैसे माँगने में कोई फ़ायदा नहीं है।,It is no use asking me for money.
1961,लगता है कि तुम भारत के हो।,It looks like you are from India.
1962,मुझे लगता है कि तुम ग़लत हो।,It seems to me that you're wrong.
1963,इस काम को करने में ज़्यादा देर नहीं लगेगी।,It won't take long to do the job.
1964,बच्चों को दवाईयों से दूर रखना चहिए।,Keep children away from medicine.
1965,मेरे बॉस ने मुझसे पिछले रविवार को काम करवाया।,My boss made me work last Sunday.
1966,मेरे पापा के बाल सफ़ेद हो गए हैं।,My father's hair has grown white.
1967,मैं पुराने मंदिरों को देखने जाने का शौकीन हूँ।,My hobby is visiting old temples.
1968,अरे नहीं! पेट्रोल खतम होने वाला है।,"Oh, no! We're running out of gas."
1969,हमारी क्लास में पचास लड़के हैं।,Our class consists of fifty boys.
1970,हमारी कक्षा में पचास लड़के हैं।,Our class consists of fifty boys.
1971,हमारी मुलाकात ग़लती से हो गई।,Our meeting was quite accidental.
1972,मुझे देर से आने के लिए माफ़ कीजिएगा।,Please pardon me for coming late.
1973,स्कूल साढ़े-आठ बजे शुरू होता है।,School begins at half past eight.
1974,उसने उससे पैसे जुटाने के लिए कहा।,She asked him to raise the funds.
1975,उसने मुझे मेरे पैसे नहीं लौटाए।,She didn't give me my money back.
1976,उसने उसका प्रस्ताव खुशी से स्वीकार कर लिया।,She gladly accepted his proposal.
1977,"वह गरीब है, पर दिखने से खुश लगती है।","She is poor, but she looks happy."
1978,वह स्कूल जाने के लिए अभी बहुत छोटी है।,She is too young to go to school.
1979,वह मुझसे दो साल छोटी है।,She is two years younger than me.
1980,उसने पूरी ज़िन्दगी शादी नहीं करी।,She remained single all her life.
1981,उसने मुझपर आलसी होने के लिए गुस्सा किया।,She reproached me for being lazy.
1982,किसी ने मेरी से उसके पैसे चुरा लिए।,Someone robbed Mary of her money.
1983,यहां डाक टिकटें नहीं बेची जातीं हैं।,Stamps aren't sold in this store.
1984,गर्मी का मौसम मेरा सबसे पसंदीता मौसम है।,Summer is the season I like best.
1985,वह डब्बा इस वाले से बड़ा है।,That box is bigger than this one.
1986,उस लड़के ने अपने सारे कपड़े उतारे।,The boy stripped off his clothes.
1987,सम्मेलन कल समाप्त होगा।,The conference will end tomorrow.
1988,उस लड़की को खतरे के बारे में पता था।,The girl was aware of the danger.
1989,इतिहास की क्लास नौ बजे शुरू होती है।,The history class starts at nine.
1990,वह अफ़वाह किसी हद तक सच है।,The rumor is true to some extent.
1991,गोलीबारी लगभग दोपहर के बारह बजे शुरू हुई।,The shooting started around noon.
1992,फ़ोन कई बार बजा।,The telephone rang several times.
1993,उस पहाड़ की चोटी चपटी है।,The top of that mountain is flat.
1994,उनकी शादी टूट रही थी।,Their marriage was falling apart.
1995,उस दिन हवा बहुत तेज़ थी।,There was a strong wind that day.
1996,ये पेड़ उन्होंने लगाए थे।,These trees were planted by them.
1997,उन्होंने हमको बहुत कम कष्ट दिया।,They gave us very little trouble.
1998,उन्हें अपनी टीचर से डाँट पड़ी।,They were scolded by the teacher.
1999,उनकी शादी अगले महीने होगी।,They will get married next month.
2000,इस किताब में बहुत सारी तस्वीरें हैं।,This book contains many pictures.
2001,यह किताब उस किताब से पुरानी है।,This book is older than that one.
2002,मुझे गुफ़ा में ये मिला।,This is what I found in the cave.
2003,यह टाई मेरे सूट के साथ जचती नहीं है।,This tie doesn't go with my suit.
2004,टॉम का बात करने का तरीका अजीब है ।,Tom has a strange way of talking.
2005,टॉम अजीब तरीके से बात करता है ।,Tom has a strange way of talking.
2006,टॉम तीस मिनट में निकल रहा है ।,Tom is leaving in thirty minutes.
2007,टॉम में सहानुभूति की कमी है।,Tom is sorely lacking in empathy.
2008,टॉम अपने पिता जी के बारे में बहुत बात करता है ।,Tom talks a lot about his father.
2009,सब्ज़ियों के दाम बढ़ गए हैं।,Vegetables have gone up in price.
2010,हम झील के पास एक होटल में ठहरे।,We stayed at a hotel by the lake.
2011,हम जंगल में सैर करने गए थे।,We went for a walk in the forest.
2012,तुम अपने खाली समय में क्या करते हो?,What do you do in your free time?
2013,सबसे बुरा क्या हो सकता है?,What's the worst that can happen?
2014,तुम आमतौर पर कितने बजे काम से छूटते हो?,When do you usually get off work?
2015,तुम चलने के लिए तैयार कब होगे?,When will you get ready to leave?
2016,तुम आज रात पार्टी में जाओगे क्या?,Will you go to the party tonight?
2017,एक और गिलास चाय लेंगे क्या?,Will you have another cup of tea?
2018,तुम मेरे लिए एक बीटल्स का गाना गा सकते हो क्या?,Will you sing me a Beatles' song?
2019,तुम्हें इतना जल्दी आने की ज़रूरत नहीं थी।,You didn't have to come so early.
2020,तुम्हें उसने गप मारने की ज़रूरत नहीं है।,You don't have to chat with them.
2021,तुम्हें इस तरह की आदत तोड़ देनी चाहिए।,You must get rid of such a habit.
2022,उस तरह का आदमी मुझसे झिलता नहीं है।,A man like that gets on my nerves.
2023,एक गिलहरी डालियों के बीच छुपी हुई थी।,A squirrel hid among the branches.
2024,लगभग सारी-की-सारी पत्तियाँ गिर चुकीं हैं।,Almost all the leaves have fallen.
2025,आखिरकार उसको उसकी ग़लतियाँ समझ में आईं।,"At last, he realized his mistakes."
2026,क्या आप मुझे बता सकते हैं कि यह किस नाप का है?,Can you tell me what size this is?
2027,क्या मुझे अस्पताल में रहना होगा?,Do I have to stay in the hospital?
2028,क्या आपको कम्प्यूटर का इस्तेमाल करना आता है?,Do you know how to use a computer?
2029,क्या आपको कम्प्यूटर का उपयोग करना आता है?,Do you know how to use a computer?
2030,तुम यह कार्यक्रम देखना चाहते हो क्या?,Do you want to watch this program?
2031,हाथी एशिया और अफ़्रीका में रहते हैं।,Elephants live in Asia and Africa.
2032,उसने पार्टी में न जाने का फ़ैसला किया।,He decided not to go to the party.
2033,"न वह वहाँ गया, न मैं।",He didn't go there. Neither did I.
2034,वह लंदन तीन बार जा चुका है।,He has been to London three times.
2035,उसने अपने दुख को अपनी मुस्कुराहट के पीछे छिपा लिया।,He hid his sadness behind a smile.
2036,वह दस भाषाएँ बोलना जानता है।,He is able to speak ten languages.
2037,वह वहाँ उस घर में रहता है।,He lives in that house over there.
2038,वह अपने प्रयोगों में कबूतरों का उपयोग करता था।,He used pigeons in his experiment.
2039,वह एक बार में घंटो के लिए लिख सकता है।,He will write for hours at a time.
2040,उसको हमेशा पैसों की कमी होती है।,He's always running short of cash.
2041,मैं इतनी महंगी किताब नहीं ख़रीद सकता।,I can't buy a book this expensive.
2042,मुझसे उसका अक्खड़पन झेला नहीं जाता।,I can't put up with his arrogance.
2043,मुझे समझ में नहीं आ रहा क्या हुआ।,I cannot understand what happened.
2044,मुझे मूर्ख बनना पसंद नहीं है।,I don't like being made a fool of.
2045,मुझे उसके काम करने की योग्यता पर भरोसा नहीं है।,I doubt his ability to do the job.
2046,मुझे लम्बी सैर के बाद भूख लग आई।,I felt hungry after the long walk.
2047,मेरे पास कल उसकी एक चिट्ठी आई।,I had a letter from her yesterday.
2048,मैं खुशकिसमत था कि सफ़ल हो गया।,I had the good fortune to succeed.
2049,मैंने एक कुत्ते को तैरकर नदी पार करते हुए देखा।,I saw a dog swim across the river.
2050,मैं आमतौर पर छः बजे तक घर आ जाता हूँ।,I usually get home by six o'clock.
2051,मैं आमतौर पर आठ बजे उठा करता हूँ।,I usually get up at eight o'clock.
2052,मैंने प्रथम पुरस्कार जीत लिया।,I was able to win the first prize.
2053,मुझसे आपको यह संदेश देने के लिए बताया गया था।,I was asked to give you a message.
2054,मुझे आपको संदेश देने के लिए कहा गया था।,I was asked to give you a message.
2055,मुझे तुम्हें संदेश देने के लिए कहा गया था।,I was asked to give you a message.
2056,मैं कल गाँव जा रहा हूँ।,I'm going to the village tomorrow.
2057,आठ से दस बजे के बीच हुआ।,It happened between eight and ten.
2058,आठ से दस बजे के बीच हुई।,It happened between eight and ten.
2059,बेहतर होगा कि इस बात को अनदेखा किया जाए।,It is better to ignore this point.
2060,यह साबित कर दिया गया कि वह चोर था।,It was proved that he was a thief.
2061,उनके लिए बाहर जाना बहुत ज़रूरी है।,It's important for them to go out.
2062,अपना कमरा जितना साफ़-सुथरा रख सकते हो रखो।,Keep your room as neat as you can.
2063,मैं तुम्हें एक बात की सलाह देता हूँ।,Let me give you a piece of advice.
2064,मेरी को अपनी सुंदरता पर बहुत नाज़ था।,Mary prided herself on her beauty.
2065,मैरी ने टॉम के चेहरे पर अंगूठी फेंक दी।,Mary threw the ring in Tom's face.
2066,हम तुम्हारे साथ सैर करने चलें क्या?,May we accompany you on your walk?
2067,मेरे दोस्तों ने मेरा जन्मदिन मनाया।,My friends celebrated my birthday.
2068,मेरी मुर्गियों ने पिछले साल के मुकाबले से कम अंडे दियें हैं।,My hens laid fewer eggs last year.
2069,भारत की राजधानी नई दिल्ली है।,New Delhi is the capital of India.
2070,बहुत कम लोग थे जो वहाँ नहीं गए।,Only a few people didn't go there.
2071,उसकी बात कुछ ही लोगों ने सुनी।,Only a few people listened to him.
2072,वह काम खतम कर चुकी है।,She has already finished the work.
2073,वह अपनी माँ जैसी सुंदर है।,She is as beautiful as her mother.
2074,उसको अपने पुराने कपड़ो पर शर्म आती है।,She is ashamed of her old clothes.
2075,धूम्रपान आपको हानि पहुँचाएगा।,Smoking will do you a lot of harm.
2076,तुम्हारा सपना एक दिन सच हो जाएगा।,Someday your dream will come true.
2077,यह साईकल तुम्हारे लिए बहुत छोटी है।,That bicycle is too small for you.
2078,वह एक अनुकरणीय प्रदर्शन था!,That was an exemplary performance!
2079,भारत की राजधानी नई दिल्ली है।,The capital of India is New Delhi.
2080,यह काम दोपहर तीन बजे से पहले खतम हो जाना चाहिए।,The job must be finished by 3 p.m.
2081,पहाड़ पर बर्फ़ बिछी हुई है।,The mountain is covered with snow.
2082,मैं बारिश की वजह से आ नहीं पाया।,The rain prevented me from coming.
2083,वह सड़क नदी के साथ साथ चलती है।,The road is parallel to the river.
2084,फ़्रांस की महिलाये खूबसूरत हैं।,The women of France are beautiful.
2085,वहाँ मेरे अलावा और कोई नहीं था।,There was no one there besides me.
2086,इस महीने दो क़त्ल हुए हैं।,There were two murders this month.
2087,इस महीने दो हत्याएँ हुईं हैं।,There were two murders this month.
2088,वे अंग्रेज़ी सीखने को तैयार हैं।,They are willing to learn English.
2089,उन्होंने टॉम का आदेश मानने से इंकार कर दिया।,They refused to obey Tom's orders.
2090,यह कहानी फिर से पढ़ने लायक है।,This story is worth reading again.
2091,टॉम अपनी नई साइकिल के साथ प्रसन्न है।,Tom is happy with his new bicycle.
2092,टॉम ने मुझे ऐसे देखा जैसे मैं पागल हो गया हूं।,Tom looked at me as if I were mad.
2093,हमने मुनाफ़े को अपने बीच बाँटा।,We shared the profit among us all.
2094,हमे गति सीमा का पालन करना चाहिए।,We should observe the speed limit.
2095,हम आमतौर पर साढ़े सात बजे नाश्ता खाते हैं।,We usually have breakfast at 7:30.
2096,इस सप्ताह कौन सी फ़िल्में लगीं हुईं हैं?,What movies are playing this week?
2097,तुम्हारा दोस्त कितने बजे घर वापस गया था?,What time did your friend go home?
2098,आप रोज़ कितने बजे उठते हैं?,What time do you get up every day?
2099,तुम रोज़ कितने बजे उठते हो?,What time do you get up every day?
2100,तुम रोज़ कितने बजे उठा करते हो?,What time do you get up every day?
2101,तुम नाश्ता कितने बजे लोगे?,What time will you have breakfast?
2102,तुम्हें क्या लगता है? खिड़की किसने तोड़ी है?,Who do you think broke the window?
2103,कल मौसम अच्छा होगा क्या?,Will the weather be good tomorrow?
2104,आप एक और कप चाय पीना चाहेंगे क्या?,Would you like another cup of tea?
2105,तुम्हारे पास शिकायत करने के लिए को भी वजह नहीं है।,You've got nothing to complain of.
2106,एक पुलिस अफ़सर उससे बात कर रहा है।,A police officer is talking to her.
2107,हाथी एक बहुत बड़ा जानवर होता है।,An elephant is a very large animal.
2108,तुम्हें पक्का मालूम है कि वह समय पर आ रही है?,Are you sure of her coming on time?
2109,बर्न स्विजरलैंड की राजधानी है।,Bern is the capital of Switzerland.
2110,क्या आप थोड़ी देर बाद फिरसे फ़ोन कर सकतें हैं?,"Could you call again later, please?"
2111,तुमने रेडियो पर खबर सुनी क्या?,Did you hear the news on the radio?
2112,क्या ये जूते मेरे नाप में भी हैं?,Do you have these shoes in my size?
2113,क्या ये जूते मेरे नाप में भी मिल सकते हैं?,Do you have these shoes in my size?
2114,आप को गाँव में रहना पसंद है क्या?,Do you like to live in the country?
2115,ग़लतियाँ करने से मत डरो।,Don't be afraid of making mistakes.
2116,अपने सहपाठियों की बुराई मत करो।,Don't speak ill of your classmates.
2117,हर आदमी को खाना बनाना सीखना चाहिए।,Every man should learn how to cook.
2118,सभी लोग आराम की ज़िन्दगी जीना चाहते हैं।,Everybody wants to live in comfort.
2119,बहुत कम लोग अपनी गलतियों को मानते हैं।,Few people will admit their faults.
2120,उसने मेरे बताए हुए से उलटा काम किया।,He did the reverse of what I asked.
2121,वह वसीयत बनाए बिना ही मर गया।,He died without having made a will.
2122,वह मेरे आस-पड़ोस में नहीं रहता।,He doesn't live in my neighborhood.
2123,उसका इस केस के साथ कोई लेना-देना नहीं था।,He had nothing to do with the case.
2124,उसने दिनों तक खाना नहीं खाया।,He had to go without food for days.
2125,वह सही-ग़लत में अंतर करना नहीं जानता।,He has no sense of right and wrong.
2126,उसके पास बैंक में बहुत पैसे हैं।,He has plenty of money in the bank.
2127,उसने हमसे बहुत देर तक इंतेज़ार करवाया।,He kept us waiting for a long time.
2128,उसने अपने बेटे के लिए बड़ी जायदाद छोड़ी।,He left a large fortune to his son.
2129,उसने भारत में विद्रोह को रोका।,He put down the rebellion in India.
2130,वह अपने भाई से तेज़ भागता था।,He ran faster than his brother did.
2131,उसने बच्चे को आग से बचाया।,He rescued the child from the fire.
2132,तुम्हें अकेले रहना अच्छा लगता है क्या?,How do you like living on your own?
2133,मछली बाज़ार में कैसा चल रहा है?,How is it going in the fish market?
2134,वहाँ पहुँचने में कितनी देर लगेगी?,How long will it take to get there?
2135,तुम एक महीने में कितनी किताबें पढ़ते हो?,How many books do you read a month?
2136,कितने सैंडविच बचे हैं?,How many sandwiches are there left?
2137,मैं उसका दोस्त हूँ और रहूँगा।,I am his friend and will remain so.
2138,मैं शादीशुदा हूँ और मेरे दो बच्चे हैं।,I am married and have two children.
2139,मैं नटखट बच्चों को बर्दाश्त नहीं कर सकता।,I cannot tolerate naughty children.
2140,मुझे नहीं पता कि यह चिट्ठी किसने लिखी है।,I don't know who wrote this letter.
2141,मुझे इस गर्मी में पढ़ाई करना अच्छा नहीं लगता।,I don't like studying in this heat.
2142,मैं उतनी देर रुक नहीं सकता।,I don't think I can wait that long.
2143,मुझे नहीं लगता मैं बहुत बदला हूं।,I don't think I've changed so much.
2144,मुझे नहीं लगता कि ऐसा संभव भी है।,I don't think that's even possible.
2145,मुझे उसके बयान की सच्चाई पर शक है।,I doubt the truth of his statement.
2146,अपनी ही जल्दबाज़ी मे मैं सीढ़ियों से नीचे गिर गया।,I fell down the stairs in my haste.
2147,मैंने अपने भाई से अपनी साईकल ठीक करवाई।,I had my brother repair my bicycle.
2148,मेरा उस ग्रुप के साथ कोई संबंध नहीं था।,I had nothing to do with the group.
2149,मैंने उसे बहुत दिनों से नहीं देखा है।,I haven't seen him for a long time.
2150,मैंने सुना है कि वे मश्हूर अभिनेत्री हैं।,I hear that she's a famous actress.
2151,मैंने अपनी मम्मी को बर्तन धोने में मदद करी।,I helped my mother wash the dishes.
2152,मुझे इस पहाड़ के बारे में जानना है।,I want to know about this mountain.
2153,मैं पियानो बहुत अच्छा बजा लेता था।,I was able to play piano very well.
2154,मैं पैरिस जाकर आर्ट पढ़ना चाहता हूँ।,I wish to go to Paris to study art.
2155,मैं पैरिस जाकर आर्ट पढ़ना चाहती हूँ।,I wish to go to Paris to study art.
2156,मैं उसके सुरक्षित लौटने के लिए बेचैन हूँ।,I'm anxious for him to return safe.
2157,अगर मैं अभी नहीं करूँगा तो कभी नहीं करूँगा।,"If I don't do it now, I never will."
2158,अगर मेरे पास पंख होते तो मैं उड़कर तुम्हारे पास चला आता।,"If I had wings, I would fly to you."
2159,पिछले शुक्रवार से मौसम बहुत अच्छा है।,It has been fine since last Friday.
2160,आज दोपहर बारिश होने वाली है।,It is going to rain this afternoon.
2161,ऐसा लगता है जैसे कि सभी लोगों को गौल्फ़ अच्छा लगता है।,It seems that everybody likes golf.
2162,टॉम को ढूँढने में समय नहीं लगना चाहिए।,It shouldn't take long to find Tom.
2163,जितना तुम सोच रहे हो उतना आसान नहीं है।,It's more difficult than you think.
2164,विदेषी भाषा सीखना बहुत मज़ेदार होता है।,Learning a foreign language is fun.
2165,विवाह के रीति-रिवाज देश के अनुसार भिन्न होते हैं।,Marriage customs differ by country.
2166,मेरा भाई पैसों के लिए मुझपर निर्भर है।,My brother depends on me for money.
2167,मेरी बहन को बच्चों से बहुत प्यार है।,My sister is very fond of children.
2168,मेरी बीवी ने अभी-अभी मेज़ को साफ़ किया है।,My wife has just cleared the table.
2169,आजकल कोई भी भूत-प्रेत में विश्वास नहीं करता।,Nowadays nobody believes in ghosts.
2170,एक लम्बा है और दूसरा छोटा है।,One is tall and the other is short.
2171,उसने मुझपर ग़लती करने का इलज़ाम लगाया।,She accused me of making a mistake.
2172,उसने मुझसे पूछा कि मैं उसका पता जानता था या नहीं।,She asked me if I knew her address.
2173,वह लड़की नहीं चाहती थी कि वह लड़का विदेश जाए।,She didn't want him to go overseas.
2174,उसे किसी से भी बात करने का मन नहीं था।,She didn't want to speak to anyone.
2175,उसको अपना आने वाला कल थोड़ा डाँवाडोल लगा।,She felt insecure about her future.
2176,उसको अपना भविष्य असुरक्षित लगा।,She felt insecure about her future.
2177,वह सफ़र की तैयारी में लगी हुई है।,She is busy preparing for the trip.
2178,वह खबर सुनकर हैरान रह गई।,She was very surprised at the news.
2179,वह हफ़्ते में एक बार बाज़ार जाती थी।,She went to the market once a week.
2180,"वह बगीचे में है, गुलाब के फूल लगा रही है।",She's in the garden planting roses.
2181,"वह थक गया था, तो सोने चला गया।","Since he was tired, he went to bed."
2182,तुम यहाँ आ ही गए हो तो मेरी मदद कर सकते हो।,"Since you're here, you can help me."
2183,इस दवाई को हर छः घंटे लेना।,Take this medicine every six hours.
2184,अंग्रेज़ी पढ़ाना उसका पेशा है।,Teaching English is his profession.
2185,जंगल के जानवर मर गए।,The animals in the forest died off.
2186,बच्चा पालनी में सो गया।,The baby fell asleep in the cradle.
2187,इस लड़के के जेब में एक सेव है।,The boy has an apple in his pocket.
2188,उस मोटी औरत ने एक बंदर पकड़ा हुआ था।,The fat woman was holding a monkey.
2189,गड्ढा पाँच फ़ुट चौड़ा है।,The hole is about five feet across.
2190,उस राजा से उसकी ताक़त छीन ली गई।,The king was deprived of his power.
2191,शेर जंगल का राजा है।,The lion is the king of the jungle.
2192,वह आज भी एक रहस्य है।,The mystery still remains unsolved.
2193,समस्या पर बहस जारी है।,The problem is being discussed now.
2194,तूफ़ान ने पूरे नगर को नष्ट कर दिया।,The storm destroyed the whole town.
2195,तूफ़ान ने पूरे शहर को तबाह कर दिया।,The storm destroyed the whole town.
2196,दरवाज़े पर कोई अजीब सा इनसान है।,There is a strange man at the door.
2197,इन सवालों का जवाब देना आसान है।,These questions are easy to answer.
2198,ये प्रश्न सरल हैं।,These questions are easy to answer.
2199,उन्हे अपने अकलमंद बेटे पर नाज़ है।,They are proud of their clever son.
2200,उन्होंने अपने ऊपर मुसीबत बुलाई।,They brought trouble on themselves.
2201,उन्हें शादी की समस्याएं आ रही थीं।,They were having marriage problems.
2202,यह एक अच्छा अखबार है ना?,"This is a good newspaper, isn't it?"
2203,और-तो-और वह बीमार भी पड़ गया।,"To make matters worse, he fell ill."
2204,टॉम ने खुद को जल्दी उठने के लिए मजबूर किया।,Tom forced himself to get up early.
2205,कल वह चाँद पर उतरेगा।,"Tomorrow, he will land on the moon."
2206,हम सब सच जानने के लिए बेचैन हैं।,We are all eager to know the truth.
2207,तुम्हारे हिसाब से वह अभी क्या कर रही होगी?,What do you think she is doing now?
2208,मुझे टिकटें कहाँ से लेनीं होंगीं?,Where should I pick the tickets up?
2209,तुम आज सुबह यहाँ क्यों आए?,Why did you come here this morning?
2210,लकड़ी से बनी इमारतों में आग आसानी से लग जाती है।,Wooden buildings catch fire easily.
2211,क्या मैं दरवाज़ा खोल सकता हूँ?,Would you mind my opening the door?
2212,तुम यह किताब मुफ़्त में ले सकते हो।,You can have this book for nothing.
2213,ऐसी वफ़ादारी खरीदी नहीं जा सकती।,You can't buy that kind of loyalty.
2214,तुम्हें उसकी उम्र का भी लिहाज़ करना चाहिए।,You must take his age into account.
2215,तुम्हें इस मौके का फ़ायदा उठाना चाहिए।,You should make use of this chance.
2216,तुम्हें इस मौके को गवा नहीं देना चाहिए।,You should make use of this chance.
2217,तुम्हें बच्चे को अकेला नहीं छोड़ना चाहिए।,You shouldn't leave the baby alone.
2218,तुम अच्छा काम कर रहे हो। ऐसे ही करते रहो।,You're doing very well. Keep it up.
2219,सौ सालों को एक शतक बुलाया जाता है।,A hundred years is called a century.
2220,उसके हिसाब से वह नहीं आ रही।,"According to him, she is not coming."
2221,वह अचानक से हँस पड़ी।,"All of a sudden, she began to laugh."
2222,मेरे सभी बच्चें फ़्रेंच सीखना चाहते हैं।,All of my kids want to learn French.
2223,आप कोई दिलचस्प किताब पढ़ रहें हैं क्या?,Are you reading an interesting book?
2224,तुम कोई दिलचस्प किताब पढ़ रहे हो क्या?,Are you reading an interesting book?
2225,तुम कोई दिलचस्प किताब पढ़ रही हो क्या?,Are you reading an interesting book?
2226,क्या तुम कह रहे हो कि मेरी जान ख़तरे में है?,Are you saying my life is in danger?
2227,मैं एक रात और रह सकता हूँ क्या?,Can I extend my stay one more night?
2228,उसके सामने इसके बारे में बात मत करो।,Don't talk about it in front of him.
2229,सभी लोग क्लास में समय पर पहुँचे।,Everybody came to the class on time.
2230,मेरे परिवार में हर कोई जल्दी उठता है।,Everyone in my family gets up early.
2231,"सुनिए, आस-पास में कोई टॉयलेट है क्या?","Excuse me, is there a toilet nearby?"
2232,आजकल बहुत कम विद्यार्थी पेनसिल इस्तेमाल करतें हैं।,Few students use pencils these days.
2233,ईश्वर उनकी मदद करता है जो स्वयं की मदद करते हैं।,God helps those who help themselves.
2234,उसको वाक्य समझ में नहीं आया।,He couldn't understand the sentence.
2235,उसने छः बरस के बच्चे की तरह रोया।,He cried as if he were a boy of six.
2236,उसने विदेश में पढ़ने का निर्णय लिया।,He made up his mind to study abroad.
2237,उसने मेरे अज्ञान पर आशंका जताई।,He seemed surprised by my ignorance.
2238,उसने टूटे हुए टुकड़ों को वापस जोड़ा।,He stuck the broken pieces together.
2239,वह धीरे-धीरे ठीक हो जाएगा।,He will get better little by little.
2240,उसकी मेरे लिए सलाह यह थी कि मैं ज़्यादा मन लगाकर काम करूँ।,Her advice to me was to work harder.
2241,उसके बात करने के तरीके पर मुझे खींज आती है।,Her way of talking got on my nerves.
2242,जल्दी करो तो ट्रेन पकड़ सकते हो।,"Hurry, and you will catch the train."
2243,मैं ऑक्सफ़र्ड विश्वविद्यालय में विद्यार्थी हूँ।,I am a student at Oxford University.
2244,मैं अपनी नई गाड़ी से बहुत खुश हूँ।,I am really pleased with my new car.
2245,मैंने अपने कुत्ते को पालतू जानवरों के कब्रिस्तान में बरी कर दिया।,I buried my dog at the pet cemetery.
2246,मेरे पास बैंक में ज़्यादा पैसे नहीं है।,I don't have much money in the bank.
2247,मैं दस डॉलर से ज़्यादा नहीं खर्चना चाहता हूँ।,I don't want to spend more than $10.
2248,मुझे वही समस्या है जो आप को है।,I have the same problem that you do.
2249,मैंने सपने में भी नहीं सोचा था कि तुम हार जाओगे।,I never dreamed that you would lose.
2250,मुझे लगता है मैं उस लड़की को जानता हूं वो जो वहां है।,I think I know that girl over there.
2251,मुझे लग रहा था कि मैंने तुम्हें हमेशा के लिए खो दिया है।,I thought that I'd lost you forever.
2252,मैं अपनी नानी से हफ़्ते में दो बार मिलने जाता हूँ।,I visit my grandmother twice a week.
2253,मैं अपनी दादी से हफ़्ते में दो बार मिलने जाता हूँ।,I visit my grandmother twice a week.
2254,मेरा जन्म और पालन-पोषण बोस्टन में हुआ ।,I was born and brought up in Boston.
2255,कल मैं पूरे दिन बिस्तर में था।,I was in bed all day long yesterday.
2256,मैं कल कनाडा वापस आऊँगा।,I will come back to Canada tomorrow.
2257,जापान में सभी बच्चें स्कूल जाते हैं।,"In Japan, all children go to school."
2258,बच्चे पर ध्यान रखना थोड़ी देर के लिए।,Keep an eye on the baby for a while.
2259,हमे यहाँ हफ़्ते में एक बार मिलना चाहिए।,Let's get together here once a week.
2260,मेरा जन्मदिन आज से एक महीने में है।,My birthday is one month from today.
2261,मेरे पापा आमतौर पर छः बजे घर लौटकर आते हैं।,My father usually comes home at six.
2262,मेरे पापा रात को खाना खाने के बाद दौड़ने गए थे।,My father went jogging after dinner.
2263,मेरे पापा बिजली की कम्पनी में काम करते हैं।,My father works for a power company.
2264,किसी को भी उसके निर्दोष होने का यकीन नहीं है।,No one believes that he is innocent.
2265,हर इनसान की राय अलग होती है।,Opinions vary from person to person.
2266,हर इनसान की सोच अलग होती है।,Opinions vary from person to person.
2267,वह हमेशा अपनी टीचर की शिक़ायत करती है।,She always complains of her teacher.
2268,उसको लगता है कि उसका बेटा अभी भी ज़िंदा है।,She believes her son is still alive.
2269,वह तो ऐसे बात करती है जैसे उसे सब कुछ पता हो।,She talks as if she knew everything.
2270,"कुछ लोगों को चाय अच्छी लगती है, और कुछ लोगों को कॉफ़ी।","Some like tea, others prefer coffee."
2271,सितारे दिन में नहीं दिखते |,Stars cannot be seen in the daytime.
2272,मुझे नौवे महीने का नाम बताओ।,Tell me the name of the ninth month.
2273,वह अफ़वाह पूरी तरह से बेबुनयाद है।,That's a completely unfounded rumor.
2274,बिल्ली धीरे से चूहे की तरफ़ बढ़ी।,The cat slowly approached the mouse.
2275,बच्चों की देखभाल अच्छी तरह से की जाती थी।,The children were well looked after.
2276,डॉक्टर ने उसे सिगरेट न पीने की सलह दी।,The doctor advised him not to smoke.
2277,डॉक्टर ने उन्हें सिगरेट न पीने की सलह दी।,The doctor advised him not to smoke.
